,No_Die,process,Ox_Chamber,type,Temp_OXid,Vapor,ppm,Pressure,Oxid_time,thickness,process 2,photo_soft_Chamber,resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake,Process 2-1,lithography_Chamber,Line_CD,UV_type,Wavelength,Resolution,Energy_Exposure,Process 3,Etching_Chamber,Thin F4,Thin F3,Thin F2,Thin F1,Temp_Etching,Source_Power,Selectivity,process4,Chamber_Num,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,input_Energy,Temp_implantation,Furance_Temp,RTA_Temp,process4,Target,Error_message,Lot_Num,Wafer_Num,Datetime,path,short_path,Error
10,NOLSM3381314338,Oxidation,2,dry,1132.062956,O2,38.2,0.219,119,702.557,Photo,1,1.52203,16.445,14.979,20.006,201.674,90,500.442,4088.413,5019.57,4.9,93.958,30.005,photo_li,2,36.541,H,405,511.294,107.77,Etching,2,604,1524,3653,5721,71.234,50.947,1.045,Implantation,2,1.17E+16,1.10E+17,4.95E+17,3.00E+17,6.00E+17,31084.207,101.561,895,153,Inspect,15,none,13,41,01-03-2022,21222,2122,0
11,NOLSM3391315339,Oxidation,2,dry,1158.231481,O2,26.67,0.198,118,702.259,Photo,1,1.52932,13.366,14.849,20,202.289,90.001,502.263,4062.197,5085.989,4.864,92.418,30.009,photo_li,2,33.036,G,436,515.668,109.616,Etching,3,280,1571,3642,5711,71.249,50.451,1.063,Implantation,3,1.18E+16,8.54E+16,4.07E+17,3.01E+17,6.00E+17,32253.776,102.869,904,155,Inspect,87,none,13,42,01-03-2022,21233,2123,0
12,NOLSM3401316340,Oxidation,2,dry,1128.751217,O2,36.07,0.191,98,715.371,Photo,1,1.16778,15.909,15.074,19.997,200.249,90.001,503.423,4088.406,5101.54,5.04,93.136,30.001,photo_li,2,46.903,I,365,532.252,105.132,Etching,1,282,1442,3636,5694,71.169,50.615,1.038,Implantation,1,1.42E+16,8.73E+16,5.93E+17,3.00E+17,6.00E+17,31446.324,102.759,882,155,Inspect,31,none,13,43,01-03-2022,21211,2121,0
13,NOLSM3411317341,Oxidation,2,dry,937.5402487,O2,35.73,0.211,94,708.346,Photo,1,1.29164,14.085,15.067,19.994,199.309,90,498.509,4043.081,5057.66,4.89,91.247,30.005,photo_li,2,66.532,H,405,509.393,108.43,Etching,2,477,1561,3667,5723,71.153,51.318,1.023,Implantation,2,7.83E+15,1.31E+17,3.65E+17,3.03E+17,6.00E+17,32773.392,105.126,896,150,Inspect,238,[['Edge-Loc']],13,44,01-03-2022,21222,2122,1
14,NOLSM3421318342,Oxidation,2,wet,1253.34398,H2O,25.39,0.2,174,720.639,Photo,1,1.20773,12.352,15.05,20.004,199.911,90,495.402,4054.055,4892.47,5.031,90.587,30.003,photo_li,2,33.205,G,436,551.527,109.55,Etching,3,350,1690,3659,5691,71.196,50.143,1.041,Implantation,3,1.08E+16,3.69E+16,5.43E+17,2.99E+17,6.00E+17,31202.426,100.703,898,155,Inspect,173,none,13,45,01-03-2022,21233,2123,0
15,NOLSM3431319343,Oxidation,2,dry,921.1975736,O2,36.43,0.209,70,711.451,Photo,1,1.19261,15.651,15.089,19.994,198.866,90,494.517,3988.812,5005.117,4.957,92.169,30.01,photo_li,3,42.216,I,365,512.091,108.576,Etching,1,353,1544,3649,5706,71.174,51.616,1.006,Implantation,1,1.17E+16,9.08E+16,1.99E+17,3.01E+17,6.00E+17,31661.976,101.119,891,149,Inspect,103,none,13,46,01-03-2022,21311,2131,0
16,NOLSM3441320344,Oxidation,2,dry,1106.970806,O2,37.56,0.208,87,705.974,Photo,1,1.24523,16.552,14.965,20.001,199.816,90,498.307,3983.693,5029.168,4.936,90.845,30.005,photo_li,3,55.47,H,405,515.702,108.514,Etching,2,278,1463,3673,5727,71.287,51.408,1.02,Implantation,2,1.34E+16,7.75E+16,4.48E+17,2.99E+17,6.00E+17,30785.849,103.203,880,156,Inspect,174,none,13,47,01-03-2022,21322,2132,0
17,NOLSM3451321345,Oxidation,2,dry,1168.40681,O2,32.8,0.205,113,702.475,Photo,1,1.5879,15.616,15.09,19.994,203.987,90.001,505.859,4015.481,4993.499,4.987,93.328,30.002,photo_li,3,58.434,H,405,492.517,108.301,Etching,3,378,1616,3683,5709,71.17,51.257,1.026,Implantation,3,1.19E+16,8.61E+16,5.08E+17,2.99E+17,6.00E+17,31765.567,102.207,878,156,Inspect,177,none,13,48,01-03-2022,21333,2133,0
18,NOLSM3461322346,Oxidation,2,wet,1144.326323,H2O,31.86,0.204,106,701.78,Photo,1,1.60777,16.681,15.063,20.003,196.125,90.001,502.416,3973.891,4974.61,5.008,92.743,29.999,photo_li,3,46.924,I,365,520.06,108.3,Etching,1,317,1449,3617,5739,71.164,49.726,1.013,Implantation,1,1.24E+16,1.30E+17,2.17E+17,3.01E+17,6.00E+17,30901.365,101.874,912,155,Inspect,28,none,13,49,01-03-2022,21311,2131,0
19,NOLSM3471323347,Oxidation,2,dry,1121.52316,O2,39.51,0.217,50,711.92,Photo,1,1.23906,18.582,15.116,19.998,204.725,90,502.749,4082.609,5036.144,5.064,91.218,30.01,photo_li,3,43.02,I,365,498.906,109.672,Etching,2,473,1576,3672,5738,71.119,51.228,1.017,Implantation,2,1.66E+16,2.38E+17,1.03E+18,3.00E+17,6.00E+17,31877.743,101.707,914,155,Inspect,134,none,13,50,01-03-2022,21322,2132,0
20,NOLSM3481324348,Oxidation,2,wet,1264.814709,H2O,32.88,0.201,112,696.968,Photo,1,0.70056,16.129,15.034,20.007,197.381,90,502.125,4101.095,5013.425,4.925,94.13,29.985,photo_li,3,39.639,I,365,519.143,108.319,Etching,3,499,1450,3649,5730,71.256,51.375,1.052,Implantation,3,1.15E+16,1.09E+17,7.63E+17,3.00E+17,6.00E+17,30107.396,102.811,899,156,Inspect,129,none,13,51,01-03-2022,21333,2133,0
21,NOLSM3491325349,Oxidation,2,wet,980.4659023,H2O,38.11,0.194,78,706.048,Photo,1,0.55934,18.547,14.97,20.004,196.756,90,499.319,4074.474,4974.847,5.037,94.773,29.993,photo_li,3,48.829,H,405,512.364,109.219,Etching,1,222,1390,3666,5738,71.402,51.31,1.067,Implantation,1,9.27E+15,9.56E+16,4.79E+17,2.99E+17,6.00E+17,32048.247,102.598,903,157,Inspect,78,none,13,52,01-03-2022,21311,2131,0
22,NOLSM3501326350,Oxidation,2,dry,1078.143907,O2,39.93,0.197,80,707.196,Photo,1,1.67261,14.217,14.917,19.995,196.614,90.001,505.745,4078.04,5011.823,4.986,91.892,30.006,photo_li,3,51.041,I,365,522.393,110.411,Etching,2,41,1646,3662,5722,71.287,51.489,1.03,Implantation,2,1.88E+16,1.53E+16,7.91E+17,3.00E+17,6.00E+17,31221.028,104.234,879,155,Inspect,60,none,13,53,01-03-2022,21322,2132,0
23,NOLSM3511327351,Oxidation,2,dry,1053.962633,O2,35.63,0.218,89,715.913,Photo,1,1.20795,15.818,15.039,19.998,202.174,89.999,494.887,4011.312,4985.691,5.07,94.156,30.005,photo_li,3,49.273,H,405,508.958,108.273,Etching,3,65,1469,3652,5725,71.538,50.43,1.029,Implantation,3,7.2E+15,1.30E+17,5.99E+17,3.00E+17,6.00E+17,31645.163,100.57,890,157,Inspect,74,none,13,54,01-03-2022,21333,2133,0
24,NOLSM325131,Oxidation,3,dry,1198.323089,O2,26.69,0.203,120,705.284,Photo,3,1.46994,14.06,15.006,20.001,200.551,90.001,503.63,4010.591,4903.611,5.02,91.918,30.005,photo_li,3,41.676,I,365,505.388,109.628,Etching,1,340,1522,3644,5732,72.651,52.103,1.03,Implantation,1,1.50E+16,1.32E+17,6.47E+17,3.01E+17,6.00E+17,30795.934,103.433,854,154,Inspect,141,none,13,1,01-03-2022,33311,3331,0
25,NOLSM326132,Oxidation,1,dry,959.1715156,O2,30.86,0.217,137,690.8,Photo,1,0.86579,13.693,15.059,19.993,199.835,89.999,502.354,4042.427,4979.082,4.937,90.976,30.005,photo_li,1,53.612,H,405,541.732,104.917,Etching,1,265,1513,3631,5729,70.267,52.004,1.038,Implantation,1,1.11E+16,4.37E+16,1.04E+18,3.03E+17,6.00E+17,32135.618,105.552,895,156,Inspect,55,none,13,2,01-03-2022,11111,1111,0
26,NOLSM327133,Oxidation,1,dry,1175.582493,O2,31.07,0.218,116,702.641,Photo,1,0.90483,15.221,14.93,19.995,202.118,90.001,504.103,4025.856,5031.989,4.888,91.969,30.006,photo_li,2,47.598,I,365,532.2,106.632,Etching,2,411,1568,3653,5729,71.231,50.846,1.005,Implantation,2,1.04E+16,1.51E+16,6.47E+17,2.98E+17,6.00E+17,31057.895,102.598,898,152,Inspect,96,none,13,3,01-03-2022,11222,1122,0
27,NOLSM328134,Oxidation,1,dry,927.5054921,O2,31.04,0.196,143,704.124,Photo,1,0.42197,19.114,14.947,20.004,194.668,90,502.088,4144.57,4969.316,4.933,91.458,30.001,photo_li,3,32.843,G,436,537.729,108.785,Etching,3,328,1326,3661,5718,71.295,51.665,1.025,Implantation,3,8.89E+15,1.02E+17,3.41E+17,3.00E+17,6.00E+17,32140.566,102.963,879,155,Inspect,105,none,13,4,01-03-2022,11333,1133,0
28,NOLSM329135,Oxidation,1,wet,1120.908253,H2O,31.37,0.215,76,707.911,Photo,2,1.70139,14.942,14.82,19.998,202.192,90,498.167,4049.729,5092.407,5.05,94.723,29.988,photo_li,1,57.37,H,405,522.143,109.913,Etching,3,219,1451,3637,5729,72.983,50.787,1.038,Implantation,3,1.67E+16,7.88E+16,7.26E+17,3.02E+17,6.00E+17,31986.009,101.419,882,155,Inspect,79,none,13,5,01-03-2022,12133,1213,0
29,NOLSM330136,Oxidation,1,dry,1310.70949,O2,41.03,0.213,114,712.218,Photo,2,0.69888,12.958,14.997,20,197.199,90,500.9,4030.187,4946.249,4.945,91.069,30.003,photo_li,2,4.562,I,365,539.753,107.797,Etching,2,272,1540,3661,5704,70.207,51.687,1.023,Implantation,2,1.13E+16,8.12E+16,3.27E+17,2.99E+17,6.00E+17,31982.632,103.847,871,152,Inspect,96,none,13,6,01-03-2022,12222,1222,0
30,NOLSM331137,Oxidation,1,dry,933.3671298,O2,30.24,0.211,116,714.56,Photo,2,0.85768,17.886,14.978,19.999,202.194,90,502.255,4126.143,5060.506,5.117,88.719,29.995,photo_li,3,59.616,I,365,482.812,107.033,Etching,1,429,1624,3617,5728,70.688,50.834,1.034,Implantation,1,1.13E+16,1.16E+17,9.13E+17,2.99E+17,6.00E+17,32499.229,102.84,916,157,Inspect,115,none,13,7,01-03-2022,12311,1231,0
31,NOLSM332138,Oxidation,1,dry,1033.436679,O2,30.45,0.199,218,700.741,Photo,3,0.45409,13.268,14.919,20,202.532,90,503.99,3902.474,5113.826,5.021,92.617,30.002,photo_li,1,26.803,G,436,526.283,105.824,Etching,1,561,1478,3687,5734,69.496,51.711,1.047,Implantation,1,1.12E+16,7.20E+16,5.02E+17,3.00E+17,6.00E+17,32016.39,104.368,891,153,Inspect,167,none,13,8,01-03-2022,13111,1311,0
32,NOLSM3351311,Oxidation,2,wet,1077.329932,H2O,35.17,0.195,144,722.57,Photo,1,1.51697,13.009,14.889,19.997,199.4,89.999,497.891,4041.284,4982.75,4.989,90.241,30.002,photo_li,1,54.021,G,436,492.678,110.934,Etching,3,408,1553,3651,5718,70.261,50.744,1.032,Implantation,3,1.53E+16,1.01E+17,4.94E+17,3.00E+17,6.00E+17,31419.868,103.298,862,154,Inspect,156,none,13,11,01-03-2022,21133,2113,0
33,NOLSM3361312,Oxidation,2,wet,1013.429731,H2O,38.24,0.199,58,721.595,Photo,1,0.83835,14.145,14.952,20,204.41,89.999,504.626,4052.219,5036.152,4.997,94.758,29.998,photo_li,2,20.588,G,436,547.415,110.832,Etching,2,362,1463,3683,5698,72.521,50.902,1.03,Implantation,2,1.06E+16,1.63E+17,2.20E+17,3.03E+17,6.00E+17,31196.102,104.54,892,154,Inspect,112,none,13,12,01-03-2022,21222,2122,0
34,NOLSM3381314,Oxidation,2,dry,1124.607013,O2,38.2,0.219,119,702.557,Photo,2,1.52203,13.022,14.979,20.006,201.674,90,496.152,4088.413,5019.57,4.9,93.958,30.005,photo_li,1,36.541,H,405,511.294,107.77,Etching,1,604,1524,3653,5721,70.79,50.947,1.045,Implantation,1,1.17E+16,1.10E+17,4.95E+17,3.00E+17,6.00E+17,31084.207,101.561,895,153,Inspect,171,none,13,14,01-03-2022,22111,2211,0
35,NOLSM3391315,Oxidation,2,dry,1144.681131,O2,26.67,0.198,118,702.259,Photo,2,1.52932,13.366,14.849,20,202.289,90.001,502.637,4062.197,5085.989,4.864,92.418,30.009,photo_li,2,33.036,G,436,515.668,109.616,Etching,2,280,1571,3642,5711,71.372,50.451,1.063,Implantation,2,1.18E+16,8.54E+16,4.07E+17,3.01E+17,6.00E+17,32253.776,102.869,904,155,Inspect,87,none,13,15,01-03-2022,22222,2222,0
36,NOLSM3401316,Oxidation,2,dry,1127.583511,O2,36.07,0.191,98,715.371,Photo,2,1.16778,15.909,15.074,19.997,200.249,90.001,499.361,4088.406,5101.54,5.04,93.136,30.001,photo_li,3,46.903,I,365,532.252,105.132,Etching,3,282,1442,3636,5694,71.939,50.615,1.038,Implantation,3,1.42E+16,8.73E+16,5.93E+17,3.00E+17,6.00E+17,31446.324,102.759,882,155,Inspect,31,none,13,16,01-03-2022,22333,2233,0
37,NOLSM3411317,Oxidation,2,dry,919.1686609,O2,35.73,0.211,94,708.346,Photo,3,1.29164,14.085,15.067,19.994,199.309,90,503.635,4043.081,5057.66,4.89,91.247,30.005,photo_li,1,66.532,H,405,509.393,108.43,Etching,3,477,1561,3667,5723,72.12,51.318,1.023,Implantation,3,7.83E+15,1.31E+17,3.65E+17,3.03E+17,6.00E+17,32773.392,105.126,896,150,Inspect,238,[['Edge-Loc']],13,17,01-03-2022,23133,2313,1
38,NOLSM3421318,Oxidation,2,wet,1238.206078,H2O,25.39,0.2,174,720.639,Photo,3,1.20773,12.352,15.05,20.004,199.911,90,505.191,4054.055,4892.47,5.031,90.587,30.003,photo_li,2,33.205,G,436,551.527,109.55,Etching,2,350,1690,3659,5691,72.795,50.143,1.041,Implantation,2,1.08E+16,3.69E+16,5.43E+17,2.99E+17,6.00E+17,31202.426,100.703,898,155,Inspect,173,none,13,18,01-03-2022,23222,2322,0
39,NOLSM3431319,Oxidation,2,dry,913.9708094,O2,36.43,0.209,70,711.451,Photo,3,1.19261,15.651,15.089,19.994,198.866,90,501.018,3988.812,5005.117,4.957,92.169,30.01,photo_li,3,42.216,I,365,512.091,108.576,Etching,1,353,1544,3649,5706,70.126,51.616,1.006,Implantation,1,1.17E+16,9.08E+16,1.99E+17,3.01E+17,6.00E+17,31661.976,101.119,891,149,Inspect,103,none,13,19,01-03-2022,23311,2331,0
40,NOLSM3441320,Oxidation,3,dry,1091.414497,O2,37.56,0.208,87,705.974,Photo,1,1.24523,16.552,14.965,20.001,199.816,90,500.181,3983.693,5029.168,4.936,90.845,30.005,photo_li,1,55.47,H,405,515.702,108.514,Etching,1,278,1463,3673,5727,70.69,51.408,1.02,Implantation,1,1.34E+16,7.75E+16,4.48E+17,2.99E+17,6.00E+17,30785.849,103.203,880,156,Inspect,174,none,13,20,01-03-2022,31111,3111,0
41,NOLSM3451321,Oxidation,3,dry,1149.044929,O2,35.42,0.205,113,702.475,Photo,1,1.5879,15.616,15.09,19.994,203.987,90.001,497.838,4015.481,4993.499,4.987,93.328,30.002,photo_li,3,58.434,H,405,492.517,108.301,Etching,3,378,1616,3683,5709,71.316,51.257,1.026,Implantation,3,1.19E+16,8.61E+16,5.08E+17,2.99E+17,6.00E+17,31765.567,102.207,878,156,Inspect,177,none,13,21,01-03-2022,31333,3133,0
42,NOLSM3461322,Oxidation,3,wet,1133.633441,H2O,26.68,0.204,106,701.78,Photo,2,1.60777,16.681,15.063,20.003,196.125,90.001,502.747,3973.891,4974.61,5.008,92.743,29.999,photo_li,1,46.924,I,365,520.06,108.3,Etching,3,317,1449,3617,5739,70.598,49.726,1.013,Implantation,3,1.24E+16,1.30E+17,2.17E+17,3.01E+17,6.00E+17,30901.365,101.874,912,155,Inspect,28,none,13,22,01-03-2022,32133,3213,0
43,NOLSM3471323,Oxidation,3,dry,1119.207556,O2,27.56,0.217,50,711.92,Photo,2,1.23906,18.582,15.116,19.998,204.725,90,498.724,4082.609,5036.144,5.064,91.218,30.01,photo_li,2,43.02,I,365,498.906,109.672,Etching,2,473,1576,3672,5738,70.318,51.228,1.017,Implantation,2,1.66E+16,2.38E+17,1.03E+18,3.00E+17,6.00E+17,31877.743,101.707,914,155,Inspect,134,none,13,23,01-03-2022,32222,3222,0
44,NOLSM3481324,Oxidation,3,wet,1263.692964,H2O,31.61,0.201,112,696.968,Photo,2,0.70056,16.129,15.034,20.007,197.381,90,502.034,4101.095,5013.425,4.925,94.13,29.985,photo_li,3,39.639,I,365,519.143,108.319,Etching,1,499,1450,3649,5730,69.975,51.375,1.052,Implantation,1,1.15E+16,1.09E+17,7.63E+17,3.00E+17,6.00E+17,30107.396,102.811,899,156,Inspect,129,none,13,24,01-03-2022,32311,3231,0
45,NOLSM3491325,Oxidation,3,wet,964.1227727,H2O,38.72,0.194,78,706.048,Photo,3,0.55934,18.547,14.925,20.004,196.756,90,506.502,4074.474,4974.847,5.037,94.773,29.993,photo_li,1,48.829,H,405,512.364,109.219,Etching,1,222,1390,3666,5738,71.688,51.31,1.067,Implantation,1,9.27E+15,9.56E+16,4.79E+17,2.99E+17,6.00E+17,32048.247,102.598,903,157,Inspect,78,none,13,25,01-03-2022,33111,3311,0
46,NOLSM3501326,Oxidation,3,dry,1059.003352,O2,32.91,0.197,80,707.196,Photo,3,1.67261,14.217,14.994,19.995,196.614,90.001,494.901,4078.04,5011.823,4.986,91.892,29.996,photo_li,2,51.041,I,365,522.393,110.411,Etching,2,41,1646,3662,5722,71.438,51.489,1.03,Implantation,2,1.88E+16,1.53E+16,7.91E+17,3.00E+17,6.00E+17,31221.028,104.234,879,155,Inspect,60,none,13,26,01-03-2022,33222,3322,0
47,NOLSM3511327,Oxidation,3,dry,1045.950206,O2,44.94,0.218,89,715.913,Photo,3,1.20795,15.818,15.001,19.998,202.174,89.999,496.237,4011.312,4985.691,5.07,94.156,30.001,photo_li,3,49.273,H,405,508.958,108.273,Etching,3,65,1469,3652,5725,71.538,50.43,1.029,Implantation,3,7.2E+15,1.30E+17,5.99E+17,3.00E+17,6.00E+17,31645.163,100.57,890,157,Inspect,74,none,13,27,01-03-2022,33333,3333,0
48,NOLSM353142353,Oxidation,2,dry,1095.603032,O2,34.58,0.206,187,711.48,Photo,2,0.89269,11.919,15.018,19.993,199.099,89.999,500.053,4001.361,4993.428,4.975,91.388,30,photo_li,1,44.609,H,405,526.271,106.244,Etching,2,355,1605,3665,5711,71.105,51.201,1.023,Implantation,2,1.14E+16,7.25E+16,8.05E+17,2.99E+17,6.00E+17,32015.142,103.175,874,155,Inspect,117,none,14,29,02-03-2022,22122,2212,0
49,NOLSM354143354,Oxidation,2,wet,1024.228342,H2O,34.95,0.205,86,704.277,Photo,2,1.4453,15.074,14.927,20.003,198.167,90,500.402,4054.534,4885.56,5.004,90.966,29.995,photo_li,1,29.386,I,365,543.086,109.029,Etching,3,341,1635,3640,5699,71.861,49.342,1.036,Implantation,3,1.62E+16,8.58E+16,4.53E+17,3.01E+17,6.00E+17,30828.379,102.963,882,158,Inspect,180,none,14,30,02-03-2022,22133,2213,0
50,NOLSM355144355,Oxidation,2,dry,1135.410543,O2,32.59,0.219,73,703.992,Photo,2,0.976,16.041,15.184,20.002,201.002,90,494.976,3957.086,5029.16,4.924,88.854,30.001,photo_li,1,56.894,I,365,513.425,109.311,Etching,1,304,1499,3654,5712,72.316,51.908,1.037,Implantation,1,1.24E+16,1.50E+17,3.60E+17,2.99E+17,6.00E+17,32525.804,102.767,926,156,Inspect,88,none,14,31,02-03-2022,22111,2211,0
51,NOLSM356145356,Oxidation,2,dry,1120.141628,O2,38.02,0.201,73,722.297,Photo,2,1.63851,15.929,14.935,19.999,199.47,90.001,499.243,4087.957,4989.254,4.871,91.973,30.002,photo_li,1,61.517,H,405,544.004,105.044,Etching,2,443,1421,3625,5707,71.392,51.661,1.014,Implantation,2,1.54E+16,4.30E+16,5.93E+17,3.02E+17,6.00E+17,31584.1,102.448,925,156,Inspect,95,none,14,32,02-03-2022,22122,2212,0
52,NOLSM357146357,Oxidation,2,wet,1210.039779,H2O,33.81,0.193,160,713.608,Photo,2,1.44384,12.411,14.838,20.003,202.924,90,501.188,4025.484,5066.833,4.981,92.494,30.011,photo_li,1,26.046,I,365,521.06,108.97,Etching,3,680,1517,3663,5711,71.161,52.149,1.045,Implantation,3,1.65E+16,1.26E+17,8.12E+17,3.00E+17,6.00E+17,31743.858,104.18,914,156,Inspect,218,[['Edge-Loc']],14,33,02-03-2022,22133,2213,1
53,NOLSM358147358,Oxidation,2,dry,1057.338499,O2,29.05,0.214,32,712.692,Photo,2,1.20187,14.619,15.22,19.995,200.215,90,493.336,4036.876,5042.424,4.991,93.321,29.997,photo_li,1,43.331,H,405,527.072,108.099,Etching,1,485,1505,3677,5699,70.423,52.148,1.033,Implantation,1,7.24E+15,1.96E+17,5.41E+17,2.96E+17,6.00E+17,32590.44,106.173,915,154,Inspect,161,none,14,34,02-03-2022,22111,2211,0
54,NOLSM359148359,Oxidation,2,wet,1102.959028,H2O,49.91,0.211,32,714.415,Photo,2,0.81159,23.573,14.935,19.999,199.296,90,497.313,4014.071,5048.689,4.971,92.586,30.003,photo_li,1,22.994,G,436,528.805,107.31,Etching,2,489,1657,3669,5743,68.866,50.065,1.004,Implantation,2,9.91E+15,6.10E+16,1.66E+17,3.02E+17,6.00E+17,32202.196,103.67,882,153,Inspect,145,none,14,35,02-03-2022,22122,2212,0
55,NOLSM360149360,Oxidation,2,dry,1007.501566,O2,32.47,0.195,32,715.404,Photo,2,2.07859,14.626,15.012,19.998,200.903,90.001,499.243,3985.686,4929.412,4.942,90.423,29.999,photo_li,1,59.329,H,405,529.451,107.358,Etching,3,418,1583,3651,5709,70.639,51.593,1.005,Implantation,3,1.38E+16,1.09E+17,7.02E+17,3.00E+17,6.00E+17,31167.976,104.326,888,159,Inspect,151,none,14,36,02-03-2022,22133,2213,0
