No_Die,Lot_Num,Wafer_Num,Ox_Chamber,photo_soft_Chamber,lithography_Chamber,Etching_Chamber,Chamber_Num,Error_message,Error,Short_Path,Path,Target,Datetime
NOLSM3391315,13,15,2,2,2,2,2,none,1,2222,22222,87,01-03-2022
NOLSM3401316,13,16,2,2,3,3,3,none,1,2233,22333,31,01-03-2022
NOLSM3411317,13,17,2,3,1,3,3,[['Edge-Loc']],0,2313,23133,238,01-03-2022
NOLSM3421318,13,18,2,3,2,2,2,none,1,2322,23222,173,01-03-2022
NOLSM3431319,13,19,2,3,3,1,1,none,1,2331,23311,103,01-03-2022
NOLSM3441320,13,20,3,1,1,1,1,none,1,3111,31111,174,01-03-2022
NOLSM3451321,13,21,3,1,3,3,3,none,1,3133,31333,177,01-03-2022
NOLSM3461322,13,22,3,2,1,3,3,none,1,3213,32133,28,01-03-2022
NOLSM3471323,13,23,3,2,2,2,2,none,1,3222,32222,134,01-03-2022
NOLSM3481324,13,24,3,2,3,1,1,none,1,3231,32311,129,01-03-2022
NOLSM3491325,13,25,3,3,1,1,1,none,1,3311,33111,78,01-03-2022
NOLSM3501326,13,26,3,3,2,2,2,none,1,3322,33222,60,01-03-2022
NOLSM3511327,13,27,3,3,3,3,3,none,1,3333,33333,74,01-03-2022
NOLSM352141352,14,28,2,2,1,1,1,none,1,2211,22111,90,02-03-2022
NOLSM353142353,14,29,2,2,1,2,2,none,1,2212,22122,117,02-03-2022
NOLSM354143354,14,30,2,2,1,3,3,none,1,2213,22133,180,02-03-2022
NOLSM355144355,14,31,2,2,1,1,1,none,1,2211,22111,88,02-03-2022
NOLSM356145356,14,32,2,2,1,2,2,none,1,2212,22122,95,02-03-2022
NOLSM357146357,14,33,2,2,1,3,3,[['Edge-Loc']],0,2213,22133,218,02-03-2022
NOLSM358147358,14,34,2,2,1,1,1,none,1,2211,22111,161,02-03-2022
NOLSM359148359,14,35,2,2,1,2,2,none,1,2212,22122,145,02-03-2022
NOLSM360149360,14,36,2,2,1,3,3,none,1,2213,22133,151,02-03-2022
NOLSM3611410361,14,37,2,2,2,1,1,none,1,2221,22211,110,02-03-2022
NOLSM3621411362,14,38,2,2,2,2,2,none,1,2222,22222,93,02-03-2022
NOLSM3631412363,14,39,2,2,2,3,3,none,1,2223,22233,76,02-03-2022
NOLSM3641413364,14,40,2,2,2,1,1,none,1,2221,22211,65,02-03-2022
NOLSM3651414365,14,41,2,2,2,2,2,none,1,2222,22222,53,02-03-2022
NOLSM3661415366,14,42,2,2,2,3,3,none,1,2223,22233,127,02-03-2022
NOLSM3671416367,14,43,2,2,2,1,1,none,1,2221,22211,54,02-03-2022
NOLSM3681417368,14,44,2,2,2,2,2,none,1,2222,22222,84,02-03-2022
NOLSM3691418369,14,45,2,2,2,3,3,none,1,2223,22233,30,02-03-2022
NOLSM3701419370,14,46,2,2,3,1,1,none,1,2231,22311,48,02-03-2022
NOLSM3711420371,14,47,2,2,3,2,2,none,1,2232,22322,15,02-03-2022
NOLSM3721421372,14,48,2,2,3,3,3,none,1,2233,22333,184,02-03-2022
NOLSM3731422373,14,49,2,2,3,1,1,none,1,2231,22311,84,02-03-2022
NOLSM3741423374,14,50,2,2,3,2,2,none,1,2232,22322,120,02-03-2022
NOLSM3751424375,14,51,2,2,3,3,3,[['Edge-Loc']],0,2233,22333,215,02-03-2022
NOLSM3761425376,14,52,2,2,3,1,1,none,1,2231,22311,74,02-03-2022
NOLSM3771426377,14,53,2,2,3,2,2,none,1,2232,22322,83,02-03-2022
NOLSM3781427378,14,54,2,2,3,3,3,none,1,2233,22333,75,02-03-2022
NOLSM352141,14,1,1,1,1,3,3,none,1,1113,11133,90,02-03-2022
NOLSM353142,14,2,1,1,2,2,2,none,1,1122,11222,117,02-03-2022
NOLSM354143,14,3,1,1,3,1,1,none,1,1131,11311,180,02-03-2022
NOLSM355144,14,4,1,2,1,1,1,none,1,1211,12111,88,02-03-2022
NOLSM356145,14,5,1,2,2,2,2,none,1,1222,12222,95,02-03-2022
NOLSM357146,14,6,1,2,3,3,3,[['Edge-Loc']],0,1233,12333,218,02-03-2022
NOLSM358147,14,7,1,3,2,2,2,none,1,1322,13222,161,02-03-2022
NOLSM360149,14,9,2,1,1,1,1,none,1,2111,21111,151,02-03-2022
NOLSM3611410,14,10,2,1,2,2,2,none,1,2122,21222,110,02-03-2022
NOLSM3621411,14,11,2,1,3,3,3,none,1,2133,21333,93,02-03-2022
NOLSM3631412,14,12,2,2,1,3,3,none,1,2213,22133,76,02-03-2022
NOLSM3641413,14,13,2,2,2,2,2,none,1,2222,22222,65,02-03-2022
NOLSM3651414,14,14,2,2,3,1,1,none,1,2231,22311,53,02-03-2022
NOLSM3661415,14,15,2,3,1,1,1,none,1,2311,23111,127,02-03-2022
NOLSM3671416,14,16,2,3,2,2,2,[['Edge-Loc']],0,2322,23222,202,02-03-2022
NOLSM3681417,14,17,2,3,3,3,3,none,1,2333,23333,84,02-03-2022
NOLSM3691418,14,18,3,1,1,3,3,[['Edge-Loc']],0,3113,31133,272,02-03-2022
NOLSM3701419,14,19,3,1,2,2,2,none,1,3122,31222,76,02-03-2022
NOLSM3711420,14,20,3,1,3,1,1,none,1,3131,31311,95,02-03-2022
NOLSM3721421,14,21,3,2,1,1,1,none,1,3211,32111,184,02-03-2022
NOLSM3731422,14,22,3,2,2,2,2,none,1,3222,32222,84,02-03-2022
NOLSM3741423,14,23,3,3,1,3,3,none,1,3313,33133,120,02-03-2022
NOLSM3751424,14,24,3,3,3,1,1,[['Edge-Loc']],0,3331,33311,215,02-03-2022
NOLSM3761425,14,25,1,1,1,1,1,none,1,1111,11111,74,02-03-2022
NOLSM3771426,14,26,1,1,2,2,2,none,1,1122,11222,83,02-03-2022
NOLSM3781427,14,27,1,1,3,3,3,none,1,1133,11333,75,02-03-2022
NOLSM379151379,15,28,2,3,1,1,1,none,1,2311,23111,70,03-03-2022
NOLSM380152380,15,29,2,3,1,2,2,none,1,2312,23122,107,03-03-2022
NOLSM381153381,15,30,2,3,1,3,3,none,1,2313,23133,77,03-03-2022
NOLSM382154382,15,31,2,3,1,1,1,none,1,2311,23111,89,03-03-2022
NOLSM383155383,15,32,2,3,1,2,2,none,1,2312,23122,138,03-03-2022
NOLSM384156384,15,33,2,3,1,3,3,none,1,2313,23133,154,03-03-2022
NOLSM385157385,15,34,2,3,1,1,1,none,1,2311,23111,62,03-03-2022
NOLSM386158386,15,35,2,3,1,2,2,none,1,2312,23122,125,03-03-2022
NOLSM387159387,15,36,2,3,1,3,3,none,1,2313,23133,129,03-03-2022
NOLSM3881510388,15,37,2,3,2,1,1,none,1,2321,23211,85,03-03-2022
NOLSM3891511389,15,38,2,3,2,2,2,none,1,2322,23222,132,03-03-2022
NOLSM3901512390,15,39,2,3,2,3,3,none,1,2323,23233,95,03-03-2022
NOLSM3911513391,15,40,2,3,2,1,1,none,1,2321,23211,117,03-03-2022
NOLSM3921514392,15,41,2,3,2,2,2,none,1,2322,23222,110,03-03-2022
NOLSM3931515393,15,42,2,3,2,3,3,none,1,2323,23233,88,03-03-2022
NOLSM3941516394,15,43,2,3,2,1,1,none,1,2321,23211,55,03-03-2022
NOLSM3951517395,15,44,2,3,2,2,2,none,1,2322,23222,118,03-03-2022
NOLSM3961518396,15,45,2,3,2,3,3,none,1,2323,23233,159,03-03-2022
NOLSM3971519397,15,46,2,3,3,1,1,none,1,2331,23311,127,03-03-2022
NOLSM3981520398,15,47,2,3,3,2,2,none,1,2332,23322,69,03-03-2022
NOLSM3991521399,15,48,2,3,3,3,3,none,1,2333,23333,93,03-03-2022
NOLSM4001522400,15,49,2,3,3,1,1,none,1,2331,23311,88,03-03-2022
NOLSM4011523401,15,50,2,3,3,2,2,none,1,2332,23322,79,03-03-2022
NOLSM4021524402,15,51,2,3,3,3,3,none,1,2333,23333,92,03-03-2022
NOLSM4031525403,15,52,2,3,3,1,1,none,1,2331,23311,60,03-03-2022
NOLSM4041526404,15,53,2,3,3,2,2,none,1,2332,23322,54,03-03-2022
NOLSM4051527405,15,54,2,3,3,3,3,none,1,2333,23333,91,03-03-2022
NOLSM379151,15,1,1,2,1,3,3,none,1,1213,12133,70,03-03-2022
NOLSM380152,15,2,1,2,2,2,2,none,1,1222,12222,107,03-03-2022
NOLSM381153,15,3,1,2,3,1,1,none,1,1231,12311,77,03-03-2022
NOLSM382154,15,4,1,3,1,1,1,none,1,1311,13111,89,03-03-2022
NOLSM383155,15,5,1,3,3,3,3,none,1,1333,13333,138,03-03-2022
NOLSM384156,15,6,2,1,1,3,3,none,1,2113,21133,154,03-03-2022
NOLSM385157,15,7,2,1,3,1,1,none,1,2131,21311,62,03-03-2022
NOLSM386158,15,8,2,2,1,1,1,none,1,2211,22111,125,03-03-2022
NOLSM387159,15,9,2,2,2,2,2,none,1,2222,22222,129,03-03-2022
NOLSM3881510,15,10,2,2,3,3,3,none,1,2233,22333,85,03-03-2022
NOLSM3891511,15,11,2,3,1,3,3,none,1,2313,23133,132,03-03-2022
NOLSM3901512,15,12,2,3,2,2,2,none,1,2322,23222,95,03-03-2022
NOLSM3911513,15,13,2,3,3,1,1,none,1,2331,23311,117,03-03-2022
NOLSM3921514,15,14,3,1,1,1,1,none,1,3111,31111,110,03-03-2022
NOLSM3931515,15,15,3,1,3,3,3,none,1,3133,31333,88,03-03-2022
NOLSM3941516,15,16,3,2,1,3,3,none,1,3213,32133,55,03-03-2022
NOLSM3951517,15,17,3,2,2,2,2,none,1,3222,32222,118,03-03-2022
NOLSM3961518,15,18,3,2,3,1,1,none,1,3231,32311,159,03-03-2022
NOLSM3971519,15,19,3,3,1,1,1,none,1,3311,33111,127,03-03-2022
NOLSM3981520,15,20,3,3,2,2,2,none,1,3322,33222,69,03-03-2022
NOLSM3991521,15,21,3,3,3,3,3,none,1,3333,33333,93,03-03-2022
NOLSM4001522,15,22,1,1,1,3,3,none,1,1113,11133,88,03-03-2022
NOLSM4011523,15,23,1,1,2,2,2,none,1,1122,11222,79,03-03-2022
NOLSM4021524,15,24,1,1,3,1,1,none,1,1131,11311,92,03-03-2022
NOLSM4031525,15,25,1,2,1,1,1,none,1,1211,12111,60,03-03-2022
NOLSM4041526,15,26,1,2,3,3,3,none,1,1233,12333,54,03-03-2022
NOLSM4051527,15,27,1,3,1,3,3,none,1,1313,13133,91,03-03-2022
NOLSM406161406,16,28,3,1,1,1,1,none,1,3111,31111,139,04-03-2022
NOLSM407162407,16,29,3,1,1,2,2,none,1,3112,31122,118,04-03-2022
NOLSM408163408,16,30,3,1,1,3,3,none,1,3113,31133,187,04-03-2022
NOLSM409164409,16,31,3,1,1,1,1,none,1,3111,31111,127,04-03-2022
NOLSM410165410,16,32,3,1,1,2,2,none,1,3112,31122,57,04-03-2022
NOLSM411166411,16,33,3,1,1,3,3,none,1,3113,31133,136,04-03-2022
NOLSM412167412,16,34,3,1,1,1,1,[['Edge-Loc']],0,3111,31111,234,04-03-2022
NOLSM413168413,16,35,3,1,1,2,2,none,1,3112,31122,159,04-03-2022
NOLSM414169414,16,36,3,1,1,3,3,none,1,3113,31133,162,04-03-2022
NOLSM4151610415,16,37,3,1,2,1,1,none,1,3121,31211,61,04-03-2022
NOLSM4161611416,16,38,3,1,2,2,2,none,1,3122,31222,118,04-03-2022
NOLSM4171612417,16,39,3,1,2,3,3,none,1,3123,31233,97,04-03-2022
NOLSM4181613418,16,40,3,1,2,1,1,none,1,3121,31211,86,04-03-2022
NOLSM4191614419,16,41,3,1,2,2,2,none,1,3122,31222,96,04-03-2022
NOLSM4201615420,16,42,3,1,2,3,3,none,1,3123,31233,54,04-03-2022
NOLSM4211616421,16,43,3,1,2,1,1,none,1,3121,31211,84,04-03-2022
NOLSM4221617422,16,44,3,1,2,2,2,none,1,3122,31222,30,04-03-2022
NOLSM4231618423,16,45,3,1,2,3,3,none,1,3123,31233,48,04-03-2022
NOLSM4241619424,16,46,3,1,3,1,1,none,1,3131,31311,15,04-03-2022
NOLSM4251620425,16,47,3,1,3,2,2,none,1,3132,31322,148,04-03-2022
NOLSM4261621426,16,48,3,1,3,3,3,none,1,3133,31333,98,04-03-2022
NOLSM4271622427,16,49,3,1,3,1,1,[['Scratch']],0,3131,31311,259,04-03-2022
NOLSM4281623428,16,50,3,1,3,2,2,none,1,3132,31322,98,04-03-2022
NOLSM4291624429,16,51,3,1,3,3,3,none,1,3133,31333,70,04-03-2022
NOLSM4301625430,16,52,3,1,3,1,1,none,1,3131,31311,57,04-03-2022
NOLSM4311626431,16,53,3,1,3,2,2,none,1,3132,31322,49,04-03-2022
NOLSM4321627432,16,54,3,1,3,3,3,none,1,3133,31333,152,04-03-2022
NOLSM406161,16,1,1,3,2,2,2,none,1,1322,13222,139,04-03-2022
NOLSM407162,16,2,1,3,3,1,1,none,1,1331,13311,118,04-03-2022
NOLSM408163,16,3,2,1,1,1,1,none,1,2111,21111,187,04-03-2022
NOLSM409164,16,4,2,1,2,2,2,none,1,2122,21222,127,04-03-2022
NOLSM410165,16,5,2,1,3,3,3,none,1,2133,21333,57,04-03-2022
NOLSM411166,16,6,2,2,1,3,3,none,1,2213,22133,136,04-03-2022
NOLSM412167,16,7,2,2,2,2,2,[['Edge-Loc']],0,2222,22222,234,04-03-2022
NOLSM413168,16,8,2,2,3,1,1,none,1,2231,22311,159,04-03-2022
NOLSM414169,16,9,2,3,1,1,1,none,1,2311,23111,162,04-03-2022
NOLSM4151610,16,10,2,3,2,2,2,none,1,2322,23222,61,04-03-2022
NOLSM4161611,16,11,2,3,3,3,3,none,1,2333,23333,118,04-03-2022
NOLSM4171612,16,12,3,1,1,3,3,none,1,3113,31133,97,04-03-2022
NOLSM4181613,16,13,3,1,2,2,2,none,1,3122,31222,86,04-03-2022
NOLSM4191614,16,14,3,1,3,1,1,none,1,3131,31311,96,04-03-2022
NOLSM4201615,16,15,3,2,1,1,1,none,1,3211,32111,115,04-03-2022
NOLSM4211616,16,16,3,2,2,2,2,none,1,3222,32222,118,04-03-2022
NOLSM4221617,16,17,3,3,1,3,3,none,1,3313,33133,79,04-03-2022
NOLSM4231618,16,18,3,3,2,2,2,none,1,3322,33222,80,04-03-2022
NOLSM4241619,16,19,3,3,3,1,1,[['Edge-Loc']],0,3331,33311,202,04-03-2022
NOLSM4251620,16,20,1,1,1,1,1,none,1,1111,11111,148,04-03-2022
NOLSM4261621,16,21,1,1,3,3,3,none,1,1133,11333,98,04-03-2022
NOLSM4271622,16,22,1,2,1,3,3,[['Scratch']],0,1213,12133,259,04-03-2022
NOLSM4281623,16,23,1,2,2,2,2,none,1,1222,12222,98,04-03-2022
NOLSM4291624,16,24,1,2,3,1,1,none,1,1231,12311,70,04-03-2022
NOLSM4301625,16,25,1,3,1,1,1,none,1,1311,13111,57,04-03-2022
NOLSM4311626,16,26,1,3,2,2,2,none,1,1322,13222,49,04-03-2022
NOLSM4321627,16,27,1,3,3,3,3,none,1,1333,13333,152,04-03-2022
NOLSM433171433,17,28,3,2,1,1,1,none,1,3211,32111,140,05-03-2022
NOLSM434172434,17,29,3,2,1,2,2,none,1,3212,32122,96,05-03-2022
NOLSM435173435,17,30,3,2,1,3,3,none,1,3213,32133,54,05-03-2022
NOLSM436174436,17,31,3,2,1,1,1,none,1,3211,32111,71,05-03-2022
NOLSM437175437,17,32,3,2,1,2,2,none,1,3212,32122,50,05-03-2022
NOLSM438176438,17,33,3,2,1,3,3,none,1,3213,32133,103,05-03-2022
NOLSM439177439,17,34,3,2,1,1,1,none,1,3211,32111,141,05-03-2022
NOLSM440178440,17,35,3,2,1,2,2,none,1,3212,32122,78,05-03-2022
NOLSM441179441,17,36,3,2,1,3,3,[['Random']],0,3213,32133,205,05-03-2022
NOLSM4421710442,17,37,3,2,2,1,1,none,1,3221,32211,72,05-03-2022
NOLSM4431711443,17,38,3,2,2,2,2,none,1,3222,32222,113,05-03-2022
NOLSM4441712444,17,39,3,2,2,3,3,none,1,3223,32233,68,05-03-2022
NOLSM4451713445,17,40,3,2,2,1,1,none,1,3221,32211,123,05-03-2022
NOLSM4461714446,17,41,3,2,2,2,2,none,1,3222,32222,77,05-03-2022
NOLSM4471715447,17,42,3,2,2,3,3,none,1,3223,32233,42,05-03-2022
NOLSM4481716448,17,43,3,2,2,1,1,none,1,3221,32211,89,05-03-2022
NOLSM4491717449,17,44,3,2,2,2,2,none,1,3222,32222,78,05-03-2022
NOLSM4501718450,17,45,3,2,2,3,3,none,1,3223,32233,69,05-03-2022
NOLSM4511719451,17,46,3,2,3,1,1,none,1,3231,32311,122,05-03-2022
NOLSM4521720452,17,47,3,2,3,2,2,none,1,3232,32322,161,05-03-2022
NOLSM4531721453,17,48,3,2,3,3,3,none,1,3233,32333,68,05-03-2022
NOLSM4541722454,17,49,3,2,3,1,1,none,1,3231,32311,46,05-03-2022
NOLSM4551723455,17,50,3,2,3,2,2,none,1,3232,32322,89,05-03-2022
NOLSM4561724456,17,51,3,2,3,3,3,none,1,3233,32333,121,05-03-2022
NOLSM4571725457,17,52,3,2,3,1,1,none,1,3231,32311,123,05-03-2022
NOLSM4581726458,17,53,3,2,3,2,2,none,1,3232,32322,77,05-03-2022
NOLSM4591727459,17,54,3,2,3,3,3,none,1,3233,32333,129,05-03-2022
NOLSM433171,17,1,2,1,1,3,3,none,1,2113,21133,140,05-03-2022
NOLSM434172,17,2,2,1,2,2,2,none,1,2122,21222,96,05-03-2022
NOLSM435173,17,3,2,1,3,1,1,none,1,2131,21311,54,05-03-2022
NOLSM436174,17,4,2,2,1,1,1,none,1,2211,22111,71,05-03-2022
NOLSM437175,17,5,2,2,2,2,2,none,1,2222,22222,50,05-03-2022
NOLSM438176,17,6,2,2,3,3,3,none,1,2233,22333,103,05-03-2022
NOLSM439177,17,7,2,3,2,2,2,none,1,2322,23222,141,05-03-2022
NOLSM440178,17,8,2,3,3,1,1,none,1,2331,23311,78,05-03-2022
NOLSM441179,17,9,3,1,1,1,1,[['Random']],0,3111,31111,205,05-03-2022
NOLSM4421710,17,10,3,1,3,3,3,none,1,3133,31333,72,05-03-2022
NOLSM4431711,17,11,3,2,1,3,3,none,1,3213,32133,113,05-03-2022
NOLSM4441712,17,12,3,2,2,2,2,none,1,3222,32222,68,05-03-2022
NOLSM4451713,17,13,3,2,3,1,1,none,1,3231,32311,123,05-03-2022
NOLSM4461714,17,14,3,3,1,1,1,none,1,3311,33111,77,05-03-2022
NOLSM4471715,17,15,3,3,2,2,2,none,1,3322,33222,42,05-03-2022
NOLSM4481716,17,16,3,3,3,3,3,none,1,3333,33333,89,05-03-2022
NOLSM4491717,17,17,1,1,1,3,3,none,1,1113,11133,78,05-03-2022
NOLSM4501718,17,18,1,1,3,1,1,none,1,1131,11311,69,05-03-2022
NOLSM4511719,17,19,1,2,1,1,1,none,1,1211,12111,122,05-03-2022
NOLSM4521720,17,20,1,2,3,3,3,none,1,1233,12333,161,05-03-2022
NOLSM4531721,17,21,1,3,1,3,3,none,1,1313,13133,68,05-03-2022
NOLSM4541722,17,22,1,3,2,2,2,none,1,1322,13222,46,05-03-2022
NOLSM4551723,17,23,1,3,3,1,1,none,1,1331,13311,89,05-03-2022
NOLSM4561724,17,24,2,1,1,1,1,none,1,2111,21111,121,05-03-2022
NOLSM4571725,17,25,2,1,3,3,3,none,1,2133,21333,123,05-03-2022
NOLSM4581726,17,26,2,2,1,3,3,none,1,2213,22133,77,05-03-2022
NOLSM4591727,17,27,2,2,2,2,2,none,1,2222,22222,129,05-03-2022
NOLSM460181460,18,28,3,3,1,1,1,none,1,3311,33111,48,06-03-2022
NOLSM461182461,18,29,3,3,1,2,2,none,1,3312,33122,36,06-03-2022
NOLSM462183462,18,30,3,3,1,3,3,none,1,3313,33133,30,06-03-2022
NOLSM463184463,18,31,3,3,1,1,1,none,1,3311,33111,15,06-03-2022
NOLSM464185464,18,32,3,3,1,2,2,none,1,3312,33122,24,06-03-2022
NOLSM465186465,18,33,3,3,1,3,3,none,1,3313,33133,33,06-03-2022
NOLSM466187466,18,34,3,3,1,1,1,none,1,3311,33111,15,06-03-2022
NOLSM467188467,18,35,3,3,1,2,2,none,1,3312,33122,9,06-03-2022
NOLSM468189468,18,36,3,3,1,3,3,none,1,3313,33133,24,06-03-2022
NOLSM4691810469,18,37,3,3,2,1,1,none,1,3321,33211,60,06-03-2022
NOLSM4701811470,18,38,3,3,2,2,2,none,1,3322,33222,39,06-03-2022
NOLSM4711812471,18,39,3,3,2,3,3,none,1,3323,33233,24,06-03-2022
NOLSM4721813472,18,40,3,3,2,1,1,none,1,3321,33211,54,06-03-2022
NOLSM4731814473,18,41,3,3,2,2,2,none,1,3322,33222,87,06-03-2022
NOLSM4741815474,18,42,3,3,2,3,3,none,1,3323,33233,54,06-03-2022
NOLSM4751816475,18,43,3,3,2,1,1,none,1,3321,33211,84,06-03-2022
NOLSM4761817476,18,44,3,3,2,2,2,none,1,3322,33222,30,06-03-2022
NOLSM4771818477,18,45,3,3,2,3,3,none,1,3323,33233,48,06-03-2022
NOLSM4781819478,18,46,3,3,3,1,1,none,1,3331,33311,15,06-03-2022
NOLSM4791820479,18,47,3,3,3,2,2,none,1,3332,33322,81,06-03-2022
NOLSM4801821480,18,48,3,3,3,3,3,none,1,3333,33333,63,06-03-2022
NOLSM4811822481,18,49,3,3,3,1,1,none,1,3331,33311,21,06-03-2022
NOLSM4821823482,18,50,3,3,3,2,2,none,1,3332,33322,15,06-03-2022
NOLSM4831824483,18,51,3,3,3,3,3,none,1,3333,33333,45,06-03-2022
NOLSM4841825484,18,52,3,3,3,1,1,none,1,3331,33311,57,06-03-2022
NOLSM4851826485,18,53,3,3,3,2,2,none,1,3332,33322,12,06-03-2022
NOLSM4861827486,18,54,3,3,3,3,3,none,1,3333,33333,108,06-03-2022
NOLSM460181,18,1,2,2,3,1,1,none,1,2231,22311,48,06-03-2022
NOLSM461182,18,2,2,3,1,1,1,none,1,2311,23111,36,06-03-2022
NOLSM462183,18,3,2,3,2,2,2,none,1,2322,23222,30,06-03-2022
NOLSM463184,18,4,2,3,3,3,3,none,1,2333,23333,15,06-03-2022
NOLSM464185,18,5,3,1,1,3,3,none,1,3113,31133,24,06-03-2022
NOLSM465186,18,6,3,1,2,2,2,none,1,3122,31222,33,06-03-2022
NOLSM466187,18,7,3,1,3,1,1,none,1,3131,31311,15,06-03-2022
NOLSM467188,18,8,3,2,1,1,1,none,1,3211,32111,9,06-03-2022
NOLSM468189,18,9,3,2,2,2,2,none,1,3222,32222,24,06-03-2022
NOLSM4691810,18,10,3,3,1,3,3,none,1,3313,33133,60,06-03-2022
NOLSM4701811,18,11,3,3,2,2,2,none,1,3322,33222,39,06-03-2022
NOLSM4711812,18,12,3,3,3,1,1,none,1,3331,33311,24,06-03-2022
NOLSM4721813,18,13,1,1,1,1,1,none,1,1111,11111,54,06-03-2022
NOLSM4731814,18,14,1,1,2,2,2,none,1,1122,11222,87,06-03-2022
NOLSM4741815,18,15,1,1,3,3,3,none,1,1133,11333,21,06-03-2022
NOLSM4751816,18,16,1,2,1,3,3,none,1,1213,12133,57,06-03-2022
NOLSM4761817,18,17,1,2,3,1,1,none,1,1231,12311,15,06-03-2022
NOLSM4771818,18,18,1,3,1,1,1,none,1,1311,13111,30,06-03-2022
NOLSM4781819,18,19,1,3,2,2,2,none,1,1322,13222,18,06-03-2022
NOLSM4791820,18,20,1,3,3,3,3,none,1,1333,13333,81,06-03-2022
NOLSM4801821,18,21,2,1,1,3,3,none,1,2113,21133,63,06-03-2022
NOLSM4811822,18,22,2,1,2,2,2,none,1,2122,21222,21,06-03-2022
NOLSM4821823,18,23,2,1,3,1,1,none,1,2131,21311,15,06-03-2022
NOLSM4831824,18,24,2,2,1,1,1,none,1,2211,22111,45,06-03-2022
NOLSM4841825,18,25,2,2,2,2,2,none,1,2222,22222,57,06-03-2022
NOLSM4851826,18,26,2,2,3,3,3,none,1,2233,22333,12,06-03-2022
NOLSM4861827,18,27,2,3,1,3,3,none,1,2313,23133,108,06-03-2022
NOLSM487191487,19,28,1,1,1,1,1,none,1,1111,11111,51,07-03-2022
NOLSM488192488,19,29,1,1,1,2,2,none,1,1112,11122,27,07-03-2022
NOLSM489193489,19,30,1,1,1,3,3,none,1,1113,11133,51,07-03-2022
