,No_Die,process,type,Temp_OXid,ppm,Pressure,Oxid_time,process 2,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake,Process 2-1,Wavelength,Energy_Exposure,Process 3,Temp_Etching,Source_Power,process4,input_Energy,Temp_implantation,Furance_Temp,RTA_Temp,process4,Target,Lot_Num,Wafer_Num,Datetime,path,short_path
12,NOLSM3401316340,Oxidation,dry,1128.751217,36.07,0.191,98,Photo,15.909,15.074,19.997,200.249,90.001,503.423,4088.406,5101.54,5.04,93.136,30.001,photo_li,365,105.132,Etching,71.169,50.615,Implantation,31446.324,102.759,882,155,Inspect,31,13,43,01-03-2022,21211,2121
13,NOLSM3411317341,Oxidation,dry,937.5402487,35.73,0.211,94,Photo,14.085,15.067,19.994,199.309,90,498.509,4043.081,5057.66,4.89,91.247,30.005,photo_li,405,108.43,Etching,71.153,51.318,Implantation,32773.392,105.126,896,150,Inspect,238,13,44,01-03-2022,21222,2122
14,NOLSM3421318342,Oxidation,wet,1253.34398,25.39,0.2,174,Photo,12.352,15.05,20.004,199.911,90,495.402,4054.055,4892.47,5.031,90.587,30.003,photo_li,436,109.55,Etching,71.196,50.143,Implantation,31202.426,100.703,898,155,Inspect,173,13,45,01-03-2022,21233,2123
15,NOLSM3431319343,Oxidation,dry,921.1975736,36.43,0.209,70,Photo,15.651,15.089,19.994,198.866,90,494.517,3988.812,5005.117,4.957,92.169,30.01,photo_li,365,108.576,Etching,71.174,51.616,Implantation,31661.976,101.119,891,149,Inspect,103,13,46,01-03-2022,21311,2131
16,NOLSM3441320344,Oxidation,dry,1106.970806,37.56,0.208,87,Photo,16.552,14.965,20.001,199.816,90,498.307,3983.693,5029.168,4.936,90.845,30.005,photo_li,405,108.514,Etching,71.287,51.408,Implantation,30785.849,103.203,880,156,Inspect,174,13,47,01-03-2022,21322,2132
17,NOLSM3451321345,Oxidation,dry,1168.40681,32.8,0.205,113,Photo,15.616,15.09,19.994,203.987,90.001,505.859,4015.481,4993.499,4.987,93.328,30.002,photo_li,405,108.301,Etching,71.17,51.257,Implantation,31765.567,102.207,878,156,Inspect,177,13,48,01-03-2022,21333,2133
18,NOLSM3461322346,Oxidation,wet,1144.326323,31.86,0.204,106,Photo,16.681,15.063,20.003,196.125,90.001,502.416,3973.891,4974.61,5.008,92.743,29.999,photo_li,365,108.3,Etching,71.164,49.726,Implantation,30901.365,101.874,912,155,Inspect,28,13,49,01-03-2022,21311,2131
19,NOLSM3471323347,Oxidation,dry,1121.52316,39.51,0.217,50,Photo,18.582,15.116,19.998,204.725,90,502.749,4082.609,5036.144,5.064,91.218,30.01,photo_li,365,109.672,Etching,71.119,51.228,Implantation,31877.743,101.707,914,155,Inspect,134,13,50,01-03-2022,21322,2132
20,NOLSM3481324348,Oxidation,wet,1264.814709,32.88,0.201,112,Photo,16.129,15.034,20.007,197.381,90,502.125,4101.095,5013.425,4.925,94.13,29.985,photo_li,365,108.319,Etching,71.256,51.375,Implantation,30107.396,102.811,899,156,Inspect,129,13,51,01-03-2022,21333,2133
21,NOLSM3491325349,Oxidation,wet,980.4659023,38.11,0.194,78,Photo,18.547,14.97,20.004,196.756,90,499.319,4074.474,4974.847,5.037,94.773,29.993,photo_li,405,109.219,Etching,71.402,51.31,Implantation,32048.247,102.598,903,157,Inspect,78,13,52,01-03-2022,21311,2131
22,NOLSM3501326350,Oxidation,dry,1078.143907,39.93,0.197,80,Photo,14.217,14.917,19.995,196.614,90.001,505.745,4078.04,5011.823,4.986,91.892,30.006,photo_li,365,110.411,Etching,71.287,51.489,Implantation,31221.028,104.234,879,155,Inspect,60,13,53,01-03-2022,21322,2132
23,NOLSM3511327351,Oxidation,dry,1053.962633,35.63,0.218,89,Photo,15.818,15.039,19.998,202.174,89.999,494.887,4011.312,4985.691,5.07,94.156,30.005,photo_li,405,108.273,Etching,71.538,50.43,Implantation,31645.163,100.57,890,157,Inspect,74,13,54,01-03-2022,21333,2133
24,NOLSM325131,Oxidation,dry,1198.323089,26.69,0.203,120,Photo,14.06,15.006,20.001,200.551,90.001,503.63,4010.591,4903.611,5.02,91.918,30.005,photo_li,365,109.628,Etching,72.651,52.103,Implantation,30795.934,103.433,854,154,Inspect,141,13,1,01-03-2022,33311,3331
25,NOLSM326132,Oxidation,dry,959.1715156,30.86,0.217,137,Photo,13.693,15.059,19.993,199.835,89.999,502.354,4042.427,4979.082,4.937,90.976,30.005,photo_li,405,104.917,Etching,70.267,52.004,Implantation,32135.618,105.552,895,156,Inspect,55,13,2,01-03-2022,11111,1111
26,NOLSM327133,Oxidation,dry,1175.582493,31.07,0.218,116,Photo,15.221,14.93,19.995,202.118,90.001,504.103,4025.856,5031.989,4.888,91.969,30.006,photo_li,365,106.632,Etching,71.231,50.846,Implantation,31057.895,102.598,898,152,Inspect,96,13,3,01-03-2022,11222,1122
27,NOLSM328134,Oxidation,dry,927.5054921,31.04,0.196,143,Photo,19.114,14.947,20.004,194.668,90,502.088,4144.57,4969.316,4.933,91.458,30.001,photo_li,436,108.785,Etching,71.295,51.665,Implantation,32140.566,102.963,879,155,Inspect,105,13,4,01-03-2022,11333,1133
28,NOLSM329135,Oxidation,wet,1120.908253,31.37,0.215,76,Photo,14.942,14.82,19.998,202.192,90,498.167,4049.729,5092.407,5.05,94.723,29.988,photo_li,405,109.913,Etching,72.983,50.787,Implantation,31986.009,101.419,882,155,Inspect,79,13,5,01-03-2022,12133,1213
29,NOLSM330136,Oxidation,dry,1310.70949,41.03,0.213,114,Photo,12.958,14.997,20,197.199,90,500.9,4030.187,4946.249,4.945,91.069,30.003,photo_li,365,107.797,Etching,70.207,51.687,Implantation,31982.632,103.847,871,152,Inspect,96,13,6,01-03-2022,12222,1222
30,NOLSM331137,Oxidation,dry,933.3671298,30.24,0.211,116,Photo,17.886,14.978,19.999,202.194,90,502.255,4126.143,5060.506,5.117,88.719,29.995,photo_li,365,107.033,Etching,70.688,50.834,Implantation,32499.229,102.84,916,157,Inspect,115,13,7,01-03-2022,12311,1231
31,NOLSM332138,Oxidation,dry,1033.436679,30.45,0.199,218,Photo,13.268,14.919,20,202.532,90,503.99,3902.474,5113.826,5.021,92.617,30.002,photo_li,436,105.824,Etching,69.496,51.711,Implantation,32016.39,104.368,891,153,Inspect,167,13,8,01-03-2022,13111,1311
32,NOLSM3351311,Oxidation,wet,1077.329932,35.17,0.195,144,Photo,13.009,14.889,19.997,199.4,89.999,497.891,4041.284,4982.75,4.989,90.241,30.002,photo_li,436,110.934,Etching,70.261,50.744,Implantation,31419.868,103.298,862,154,Inspect,156,13,11,01-03-2022,21133,2113
33,NOLSM3361312,Oxidation,wet,1013.429731,38.24,0.199,58,Photo,14.145,14.952,20,204.41,89.999,504.626,4052.219,5036.152,4.997,94.758,29.998,photo_li,436,110.832,Etching,72.521,50.902,Implantation,31196.102,104.54,892,154,Inspect,112,13,12,01-03-2022,21222,2122
34,NOLSM3381314,Oxidation,dry,1124.607013,38.2,0.219,119,Photo,13.022,14.979,20.006,201.674,90,496.152,4088.413,5019.57,4.9,93.958,30.005,photo_li,405,107.77,Etching,70.79,50.947,Implantation,31084.207,101.561,895,153,Inspect,171,13,14,01-03-2022,22111,2211
35,NOLSM3391315,Oxidation,dry,1144.681131,26.67,0.198,118,Photo,13.366,14.849,20,202.289,90.001,502.637,4062.197,5085.989,4.864,92.418,30.009,photo_li,436,109.616,Etching,71.372,50.451,Implantation,32253.776,102.869,904,155,Inspect,87,13,15,01-03-2022,22222,2222
36,NOLSM3401316,Oxidation,dry,1127.583511,36.07,0.191,98,Photo,15.909,15.074,19.997,200.249,90.001,499.361,4088.406,5101.54,5.04,93.136,30.001,photo_li,365,105.132,Etching,71.939,50.615,Implantation,31446.324,102.759,882,155,Inspect,31,13,16,01-03-2022,22333,2233
37,NOLSM3411317,Oxidation,dry,919.1686609,35.73,0.211,94,Photo,14.085,15.067,19.994,199.309,90,503.635,4043.081,5057.66,4.89,91.247,30.005,photo_li,405,108.43,Etching,72.12,51.318,Implantation,32773.392,105.126,896,150,Inspect,238,13,17,01-03-2022,23133,2313
38,NOLSM3421318,Oxidation,wet,1238.206078,25.39,0.2,174,Photo,12.352,15.05,20.004,199.911,90,505.191,4054.055,4892.47,5.031,90.587,30.003,photo_li,436,109.55,Etching,72.795,50.143,Implantation,31202.426,100.703,898,155,Inspect,173,13,18,01-03-2022,23222,2322
39,NOLSM3431319,Oxidation,dry,913.9708094,36.43,0.209,70,Photo,15.651,15.089,19.994,198.866,90,501.018,3988.812,5005.117,4.957,92.169,30.01,photo_li,365,108.576,Etching,70.126,51.616,Implantation,31661.976,101.119,891,149,Inspect,103,13,19,01-03-2022,23311,2331
40,NOLSM3441320,Oxidation,dry,1091.414497,37.56,0.208,87,Photo,16.552,14.965,20.001,199.816,90,500.181,3983.693,5029.168,4.936,90.845,30.005,photo_li,405,108.514,Etching,70.69,51.408,Implantation,30785.849,103.203,880,156,Inspect,174,13,20,01-03-2022,31111,3111
41,NOLSM3451321,Oxidation,dry,1149.044929,35.42,0.205,113,Photo,15.616,15.09,19.994,203.987,90.001,497.838,4015.481,4993.499,4.987,93.328,30.002,photo_li,405,108.301,Etching,71.316,51.257,Implantation,31765.567,102.207,878,156,Inspect,177,13,21,01-03-2022,31333,3133
42,NOLSM3461322,Oxidation,wet,1133.633441,26.68,0.204,106,Photo,16.681,15.063,20.003,196.125,90.001,502.747,3973.891,4974.61,5.008,92.743,29.999,photo_li,365,108.3,Etching,70.598,49.726,Implantation,30901.365,101.874,912,155,Inspect,28,13,22,01-03-2022,32133,3213
43,NOLSM3471323,Oxidation,dry,1119.207556,27.56,0.217,50,Photo,18.582,15.116,19.998,204.725,90,498.724,4082.609,5036.144,5.064,91.218,30.01,photo_li,365,109.672,Etching,70.318,51.228,Implantation,31877.743,101.707,914,155,Inspect,134,13,23,01-03-2022,32222,3222
44,NOLSM3481324,Oxidation,wet,1263.692964,31.61,0.201,112,Photo,16.129,15.034,20.007,197.381,90,502.034,4101.095,5013.425,4.925,94.13,29.985,photo_li,365,108.319,Etching,69.975,51.375,Implantation,30107.396,102.811,899,156,Inspect,129,13,24,01-03-2022,32311,3231
45,NOLSM3491325,Oxidation,wet,964.1227727,38.72,0.194,78,Photo,18.547,14.925,20.004,196.756,90,506.502,4074.474,4974.847,5.037,94.773,29.993,photo_li,405,109.219,Etching,71.688,51.31,Implantation,32048.247,102.598,903,157,Inspect,78,13,25,01-03-2022,33111,3311
46,NOLSM3501326,Oxidation,dry,1059.003352,32.91,0.197,80,Photo,14.217,14.994,19.995,196.614,90.001,494.901,4078.04,5011.823,4.986,91.892,29.996,photo_li,365,110.411,Etching,71.438,51.489,Implantation,31221.028,104.234,879,155,Inspect,60,13,26,01-03-2022,33222,3322
47,NOLSM3511327,Oxidation,dry,1045.950206,44.94,0.218,89,Photo,15.818,15.001,19.998,202.174,89.999,496.237,4011.312,4985.691,5.07,94.156,30.001,photo_li,405,108.273,Etching,71.538,50.43,Implantation,31645.163,100.57,890,157,Inspect,74,13,27,01-03-2022,33333,3333
48,NOLSM353142353,Oxidation,dry,1095.603032,34.58,0.206,187,Photo,11.919,15.018,19.993,199.099,89.999,500.053,4001.361,4993.428,4.975,91.388,30,photo_li,405,106.244,Etching,71.105,51.201,Implantation,32015.142,103.175,874,155,Inspect,117,14,29,02-03-2022,22122,2212
49,NOLSM354143354,Oxidation,wet,1024.228342,34.95,0.205,86,Photo,15.074,14.927,20.003,198.167,90,500.402,4054.534,4885.56,5.004,90.966,29.995,photo_li,365,109.029,Etching,71.861,49.342,Implantation,30828.379,102.963,882,158,Inspect,180,14,30,02-03-2022,22133,2213
50,NOLSM355144355,Oxidation,dry,1135.410543,32.59,0.219,73,Photo,16.041,15.184,20.002,201.002,90,494.976,3957.086,5029.16,4.924,88.854,30.001,photo_li,365,109.311,Etching,72.316,51.908,Implantation,32525.804,102.767,926,156,Inspect,88,14,31,02-03-2022,22111,2211
51,NOLSM356145356,Oxidation,dry,1120.141628,38.02,0.201,73,Photo,15.929,14.935,19.999,199.47,90.001,499.243,4087.957,4989.254,4.871,91.973,30.002,photo_li,405,105.044,Etching,71.392,51.661,Implantation,31584.1,102.448,925,156,Inspect,95,14,32,02-03-2022,22122,2212
52,NOLSM357146357,Oxidation,wet,1210.039779,33.81,0.193,160,Photo,12.411,14.838,20.003,202.924,90,501.188,4025.484,5066.833,4.981,92.494,30.011,photo_li,365,108.97,Etching,71.161,52.149,Implantation,31743.858,104.18,914,156,Inspect,218,14,33,02-03-2022,22133,2213
53,NOLSM358147358,Oxidation,dry,1057.338499,29.05,0.214,32,Photo,14.619,15.22,19.995,200.215,90,493.336,4036.876,5042.424,4.991,93.321,29.997,photo_li,405,108.099,Etching,70.423,52.148,Implantation,32590.44,106.173,915,154,Inspect,161,14,34,02-03-2022,22111,2211
54,NOLSM359148359,Oxidation,wet,1102.959028,49.91,0.211,32,Photo,23.573,14.935,19.999,199.296,90,497.313,4014.071,5048.689,4.971,92.586,30.003,photo_li,436,107.31,Etching,68.866,50.065,Implantation,32202.196,103.67,882,153,Inspect,145,14,35,02-03-2022,22122,2212
55,NOLSM360149360,Oxidation,dry,1007.501566,32.47,0.195,32,Photo,14.626,15.012,19.998,200.903,90.001,499.243,3985.686,4929.412,4.942,90.423,29.999,photo_li,405,107.358,Etching,70.639,51.593,Implantation,31167.976,104.326,888,159,Inspect,151,14,36,02-03-2022,22133,2213
56,NOLSM3611410361,Oxidation,wet,1173.89048,32.82,0.221,90,Photo,20.181,15.014,19.992,197.129,89.999,503.782,4047.541,5081.64,4.92,91.662,30.002,photo_li,405,108.983,Etching,70.747,50.321,Implantation,30598.176,102.716,860,155,Inspect,110,14,37,02-03-2022,22211,2221
57,NOLSM3621411362,Oxidation,wet,1065.872191,36.66,0.186,95,Photo,18.517,14.955,20,194.871,90.001,501.948,3955.393,5052.778,4.827,95.818,29.998,photo_li,405,106.787,Etching,70.321,52.238,Implantation,32095.533,103.37,902,155,Inspect,93,14,38,02-03-2022,22222,2222
58,NOLSM3631412363,Oxidation,dry,1122.85504,30.09,0.195,115,Photo,15.859,15.007,20.003,200.988,90,499.28,4062.804,4922.209,5.069,94.12,30.011,photo_li,436,105.326,Etching,70.86,51.687,Implantation,31074.084,101.302,893,155,Inspect,76,14,39,02-03-2022,22233,2223
59,NOLSM3641413364,Oxidation,wet,1106.298433,45.75,0.211,56,Photo,17.367,14.926,20.002,198.279,90.001,500.637,4071.633,4978.139,5.026,96.346,30.005,photo_li,405,107.066,Etching,69.133,50.789,Implantation,31732.45,104.196,912,153,Inspect,65,14,40,02-03-2022,22211,2221
60,NOLSM3651414365,Oxidation,wet,1194.703777,21.07,0.213,107,Photo,16.09,14.993,20.01,198.93,90.001,499.941,3985.677,5152.543,5.017,91.356,29.995,photo_li,436,107.391,Etching,69.702,50.383,Implantation,31559.581,101.5,909,154,Inspect,53,14,41,02-03-2022,22222,2222
61,NOLSM3661415366,Oxidation,wet,1045.230266,32.17,0.211,44,Photo,19.026,14.968,19.999,194.99,90.001,501.817,3978.724,4975.303,4.894,92.106,30.007,photo_li,436,106.346,Etching,70.583,50.799,Implantation,31251.253,101.809,906,155,Inspect,127,14,42,02-03-2022,22233,2223
62,NOLSM3671416367,Oxidation,dry,1135.91157,29.66,0.211,99,Photo,18.891,15.02,20.001,196.546,89.999,502.391,4056.014,5114.927,5.079,92.607,30.005,photo_li,365,109.009,Etching,70.414,51.688,Implantation,31364.131,103.785,906,155,Inspect,54,14,43,02-03-2022,22211,2221
63,NOLSM3681417368,Oxidation,wet,1081.35277,41.58,0.213,214,Photo,13.788,15.016,20,204.524,90.001,507.183,4029.12,5086.284,5.036,92.352,30.006,photo_li,405,108.846,Etching,70.48,50.721,Implantation,32166.592,102.54,911,153,Inspect,84,14,44,02-03-2022,22222,2222
64,NOLSM3691418369,Oxidation,wet,1119.390949,40.55,0.214,152,Photo,18.771,15.05,20.003,204.897,89.999,501.286,3971.194,4934.74,5.099,92.718,29.999,photo_li,436,109.164,Etching,71.519,49.98,Implantation,32602.428,104.079,917,160,Inspect,30,14,45,02-03-2022,22233,2223
65,NOLSM3701419370,Oxidation,dry,1059.09193,32.73,0.203,104,Photo,20.701,15.026,19.999,200.324,90.001,503.396,4035.394,5084.315,5.053,92.956,29.992,photo_li,405,106.777,Etching,71.071,50.758,Implantation,31126.822,103.831,894,156,Inspect,48,14,46,02-03-2022,22311,2231
66,NOLSM3711420371,Oxidation,dry,1048.341956,36.93,0.227,75,Photo,11.253,15.009,19.999,200.37,90.001,501.423,3952.67,5002.849,4.951,89.927,29.99,photo_li,436,111.519,Etching,71.294,50.009,Implantation,31795.543,104.113,875,154,Inspect,15,14,47,02-03-2022,22322,2232
67,NOLSM3721421372,Oxidation,dry,1061.213261,36.8,0.224,118,Photo,15.286,15.075,20.004,199.046,90.001,501.079,3972.34,5074.901,5.032,92.197,30.006,photo_li,365,107.613,Etching,69.354,50.718,Implantation,31209.028,103.854,884,156,Inspect,184,14,48,02-03-2022,22333,2233
68,NOLSM3731422373,Oxidation,wet,1234.4456,35.97,0.203,127,Photo,12.463,14.995,20.003,195.75,90,501.572,4017.144,5009.249,5.019,92.601,30.007,photo_li,405,107.484,Etching,70.906,50.855,Implantation,30954.031,99.555,895,155,Inspect,84,14,49,02-03-2022,22311,2231
69,NOLSM3741423374,Oxidation,wet,1141.416407,38.57,0.214,100,Photo,19.767,14.994,20.011,203.761,90,497.102,4072.913,4976.357,5.107,92.525,30.003,photo_li,436,106.322,Etching,69.792,51.891,Implantation,31265.102,101.988,916,150,Inspect,120,14,50,02-03-2022,22322,2232
70,NOLSM3751424375,Oxidation,dry,1275.211613,23.7,0.216,156,Photo,16.029,15.102,19.996,203.281,90,500.154,4084.939,4888.342,4.969,89.185,30.007,photo_li,436,106.311,Etching,70.904,51.018,Implantation,32267.154,104.109,907,155,Inspect,215,14,51,02-03-2022,22333,2233
71,NOLSM3761425376,Oxidation,wet,1064.818618,33.22,0.193,117,Photo,17.587,14.946,19.999,205.722,90.001,501.394,4045.078,4953.646,4.98,93.687,29.989,photo_li,436,112.069,Etching,71.924,50.918,Implantation,31799.934,104.071,917,150,Inspect,74,14,52,02-03-2022,22311,2231
72,NOLSM3771426377,Oxidation,wet,1096.840945,31.04,0.194,128,Photo,16.445,15.017,19.995,200.63,90,496.487,4010.176,4883.349,5.029,92.148,30.005,photo_li,405,111.526,Etching,70.794,50.944,Implantation,32222.227,104.658,893,157,Inspect,83,14,53,02-03-2022,22322,2232
73,NOLSM3781427378,Oxidation,wet,1015.972338,33.45,0.211,168,Photo,14.419,14.995,19.994,199.008,90.001,501.655,4000.075,5049.738,5.036,92.629,30.001,photo_li,365,107.578,Etching,71.566,50.723,Implantation,32130.349,102.474,900,157,Inspect,75,14,54,02-03-2022,22333,2233
74,NOLSM353142,Oxidation,dry,1087.566152,32.51,0.206,187,Photo,11.919,15.163,19.993,199.099,89.999,502.524,4101.984,4993.428,4.975,91.388,29.995,photo_li,405,106.244,Etching,71.105,51.201,Implantation,32015.142,103.175,874,155,Inspect,117,14,2,02-03-2022,11222,1122
75,NOLSM354143,Oxidation,wet,1005.152775,32.99,0.205,86,Photo,15.074,14.927,20.003,198.167,90,500.916,4020.285,4885.56,5.004,90.966,30.002,photo_li,365,109.029,Etching,71.861,49.342,Implantation,30828.379,102.963,882,158,Inspect,180,14,3,02-03-2022,11311,1131
76,NOLSM355144,Oxidation,dry,1125.847158,24.63,0.219,73,Photo,16.041,15.184,20.002,201.002,90,501.131,4034.549,5029.16,4.924,88.854,30.001,photo_li,365,109.311,Etching,72.316,51.908,Implantation,32525.804,102.767,926,156,Inspect,88,14,4,02-03-2022,12111,1211
77,NOLSM356145,Oxidation,dry,1107.490734,32.07,0.201,73,Photo,15.929,14.935,19.999,199.47,90.001,503.194,4040.679,4989.254,4.871,91.973,30.014,photo_li,405,105.044,Etching,71.392,51.661,Implantation,31584.1,102.448,925,156,Inspect,95,14,5,02-03-2022,12222,1222
78,NOLSM357146,Oxidation,wet,1205.923968,36.97,0.193,160,Photo,12.411,14.838,20.003,202.924,90,508.904,4068.631,5066.833,4.981,92.494,29.991,photo_li,365,108.97,Etching,71.161,52.149,Implantation,31743.858,104.18,914,156,Inspect,218,14,6,02-03-2022,12333,1233
79,NOLSM358147,Oxidation,dry,1038.629938,35.62,0.214,136,Photo,14.619,15.22,19.995,200.215,90,501.318,4003.644,5042.424,4.991,93.321,29.998,photo_li,405,108.099,Etching,70.423,52.148,Implantation,32590.44,106.173,915,154,Inspect,161,14,7,02-03-2022,13222,1322
80,NOLSM360149,Oxidation,dry,1006.213827,41.81,0.195,146,Photo,14.626,15.012,19.998,200.903,90.001,499.243,4016.503,4929.412,4.942,90.423,29.999,photo_li,405,107.358,Etching,70.639,51.593,Implantation,31167.976,104.326,888,159,Inspect,151,14,9,02-03-2022,21111,2111
81,NOLSM3611410,Oxidation,wet,1162.223804,32.99,0.221,90,Photo,20.181,15.014,19.992,197.129,89.999,503.782,4058.777,5081.64,4.92,91.662,30.003,photo_li,405,108.983,Etching,70.747,50.321,Implantation,30598.176,102.716,860,155,Inspect,110,14,10,02-03-2022,21222,2122
82,NOLSM3621411,Oxidation,wet,1054.550286,29.68,0.186,95,Photo,18.517,14.955,20,194.871,90.001,501.948,3993.512,5052.778,4.827,95.818,29.997,photo_li,405,106.787,Etching,70.321,52.238,Implantation,32095.533,103.37,902,155,Inspect,93,14,11,02-03-2022,21333,2133
83,NOLSM3631412,Oxidation,dry,1104.847576,30.09,0.195,115,Photo,15.859,15.007,20.003,200.988,90,499.28,4077.424,4922.209,5.069,94.12,30.004,photo_li,436,105.326,Etching,70.86,51.687,Implantation,31074.084,101.302,893,155,Inspect,76,14,12,02-03-2022,22133,2213
84,NOLSM3641413,Oxidation,wet,1105.258786,45.75,0.211,56,Photo,19.567,14.926,20.002,198.279,90.001,500.637,4114.82,4978.139,5.026,96.346,30.005,photo_li,405,107.066,Etching,69.133,50.789,Implantation,31732.45,104.196,912,153,Inspect,65,14,13,02-03-2022,22222,2222
85,NOLSM3651414,Oxidation,wet,1176.540075,21.07,0.213,107,Photo,15.652,14.993,20.01,198.93,90.001,499.941,3983.69,5152.543,5.017,91.356,29.995,photo_li,436,107.391,Etching,69.702,50.383,Implantation,31559.581,101.5,909,154,Inspect,53,14,14,02-03-2022,22311,2231
86,NOLSM3661415,Oxidation,wet,1028.788203,32.17,0.211,44,Photo,16.187,14.968,19.999,194.99,90.001,504.54,4009.363,4975.303,4.894,92.106,30.007,photo_li,436,106.346,Etching,70.583,50.799,Implantation,31251.253,101.809,906,155,Inspect,127,14,15,02-03-2022,23111,2311
87,NOLSM3671416,Oxidation,dry,1123.465862,29.66,0.211,99,Photo,15.266,15.02,20.001,196.546,89.999,496.005,4023.505,5114.927,5.079,92.607,30.005,photo_li,365,109.009,Etching,70.414,51.688,Implantation,31364.131,103.785,906,155,Inspect,202,14,16,02-03-2022,23222,2322
88,NOLSM3681417,Oxidation,wet,1064.703459,41.58,0.213,214,Photo,17.671,15.016,20,204.524,90.001,499.323,3945.323,5086.284,5.036,92.352,30.006,photo_li,405,108.846,Etching,70.48,50.721,Implantation,32166.592,102.54,911,153,Inspect,84,14,17,02-03-2022,23333,2333
89,NOLSM3691418,Oxidation,wet,1103.982904,40.55,0.214,152,Photo,11.039,15.05,20.003,204.897,89.999,504.316,3963.253,4934.74,5.099,92.718,29.999,photo_li,436,109.164,Etching,71.519,49.98,Implantation,32602.428,104.079,917,160,Inspect,272,14,18,02-03-2022,31133,3113
